formula_supercon,tc_K,sc_class,spacegroup,point_group,mp_ordering,verdict,mp_id
C6Sr1,1.65,Carbon,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1208630
C6Yb1,6.496666667,Carbon,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1103975
C8.1K1,0.152,Carbon,F d d d,mmm,NM,EXCLUDED,mp-28930
C8Cs1,0.0675,Carbon,P 6/m m m,6/mmm,NM,CANDIDATE,mp-28861
C8Rb1,0.01205,Carbon,F d d d,mmm,NM,EXCLUDED,mp-568643
Ca0.01Cu1Y0.99O2.5,0.0,Cuprate,P n m a,mmm,FiM,EXCLUDED,mp-510475
Ca0.01Cu1Y0.99O2.58,0.0,Cuprate,P m -3 m,m-3m,NM,CANDIDATE,mvc-11697
Ca0.01Nd0.99Ni1O3,0.0,Oxide,P n m a,mmm,FM,EXCLUDED,mp-22106
Ca0.15Cu1La0.85Nd1O4,23.0,Cuprate,I 4 m m,4mm,NM,EXCLUDED,mp-1222802
Ca0.15Cu3Pb2Sr2Y0.85O8,47.0,Cuprate,P m n a,mmm,NM,EXCLUDED,mp-1198573
Ca0.17Cu1Dy1.83O4,0.0,Cuprate,C m c a,mmm,NM,EXCLUDED,mp-752673
Ca0.17Cu1Tm1.83O4,30.0,Cuprate,P 1 21/c 1,2/m,AFM,EXCLUDED,mp-1100986
Ca0.1Cu2Ga1Sr2Y0.9O7,0.0,Cuprate,I m a 2,mm2,NM,EXCLUDED,mp-556575
Ca0.1Cu2Gd0.9Ru1Sr2O8,61.0,Cuprate,P 4/m b m,4/mmm,FiM,EXCLUDED,mp-1194240
Ca0.1Ti1Y0.9O3,0.0,Oxide,P n m a,mmm,FM,EXCLUDED,mp-4355
Ca0.21La0.79Mn1O3,0.0,Oxide,P m n 21,mm2,FM,EXCLUDED,mp-39689
Ca0.25Cu2Ga1Sr2Tm0.75O7,28.0,Cuprate,I m a 2,mm2,NM,EXCLUDED,mp-1208765
Ca0.2Cu2Pr0.8Sr2Tl1O7,38.0,Cuprate,P 4/m m m,4/mmm,NM,EXCLUDED,mp-1208792
Ca0.2Cu2Sr2Tl1Y0.8O7,0.0,Cuprate,P m m 2,mm2,NM,EXCLUDED,mp-1218486
