formula_supercon,tc_K,sc_class,spacegroup,point_group,mp_ordering,verdict,mp_id
Co0.5Rh0.5V3,0.0,Other,P m -3,m-3,NM,CANDIDATE,mp-1216457
Co0.75Cu0.25Zr2,4.89,Other,C 2 2 2,222,NM,EXCLUDED,mp-1215345
Co0.7Cu0.3La1.15Sr0.85O4,0.0,Cuprate,I 4 m m,4mm,AFM,EXCLUDED,mp-1274783
Co0.85Cu0.15Zr2,5.88,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-628
Co0.8Fe0.2Ga5Pu1,10.0,Heavy_fermion,P 4/m m m,4/mmm,FM,EXCLUDED,mp-1206185
Co0.92Mn0.08U6,2.2,Heavy_fermion,I 4/m c m,4/mmm,NM,EXCLUDED,mp-582635
Co0.975Mo0.025U1,0.0,Heavy_fermion,I 21 3,23,NM,EXCLUDED,mp-1080107
Co0.9Rh0.1V3,0.0,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-1585
Co1,0.0,Other,P 63/m m c,6/mmm,FM,CANDIDATE,mp-54
Co1.5V0.5Zr1,0.0,Other,R -3 m,-3m,NM,CANDIDATE,mp-1215478
Co1.8Cr0.2Cu1S4,2.7,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-3925
Co1Ga5Np0.1U0.9,7.2,Heavy_fermion,P 4/m m m,4/mmm,FiM,EXCLUDED,mp-4732
Co1Ga5Np1,0.0,Heavy_fermion,P 4/m m m,4/mmm,FM,EXCLUDED,mp-1025325
Co1Ge0.92Si0.08U1,0.288,Heavy_fermion,P n m a,mmm,NM,EXCLUDED,mp-20671
Co1Ge2,0.0,Other,C m c a,mmm,NM,EXCLUDED,mp-30045
Co1Ge3Nd1,0.0,Other,I 4 m m,4mm,NM,EXCLUDED,mp-14625
Co1Ge3Pr1,0.0,Heavy_fermion,I 4 m m,4mm,NM,EXCLUDED,mp-13125
Co1Hf2,0.56,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-1190841
Co1In5La1,0.0,Other,P 4/m m m,4/mmm,NM,EXCLUDED,mp-21414
Co1La1O3,0.0,Oxide,P -1,-1,FiM,EXCLUDED,mp-1277476
Co1La2O4,0.0,Oxide,C m c a,mmm,AFM,EXCLUDED,mp-27494
Co1La3,4.226666667,Other,P n m a,mmm,NM,EXCLUDED,mp-640095
Co1Lu3,0.175,Other,P n m a,mmm,NM,EXCLUDED,mp-1189116
Co1Na0.35O2,0.0,Oxide,P 1,1,FM,EXCLUDED,mp-1221448
Co1Na0.48O2,0.0,Oxide,C m c 21,mm2,FM,EXCLUDED,mp-755782
Co1Na0.6O2,0.0,Oxide,C 1 m 1,m,AFM,EXCLUDED,mp-867705
Co1Na0.72O2,0.0,Oxide,R -3 m,-3m,NM,CANDIDATE,mp-18921
Co1Nb1V1,0.0,Other,A m m 2,mm2,FM,EXCLUDED,mp-1220522
Co1Nb4Si1,6.0,Other,P 4/m c c,4/mmm,NM,EXCLUDED,mp-10003
Co1O1,0.0,Oxide,F m -3 m,m-3m,AFM,CANDIDATE,mp-19079
Co1O2,0.0,Oxide,I 4/m,4/m,FM,EXCLUDED,mvc-14149
Co1P1,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-22270
Co1P3,0.0,Other,I m -3,m-3,NM,CANDIDATE,mp-1944
Co1Sb1,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-2644
Co1Sc1,0.0,Other,P m -3 m,m-3m,FM,CANDIDATE,mp-2212
Co1Sc3,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-27162
Co1Si1,0.0,Other,P 21 3,23,NM,EXCLUDED,mp-7577
Co1Si1U1,0.0,Heavy_fermion,C m c m,mmm,FM,EXCLUDED,mp-1178888
Co1Si2,1.306666667,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-2379
Co1Sn2,0.0,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-20155
Co1Ta2,0.82,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-574
Co1Te1,0.0,Other,R -3,-3,FM,CANDIDATE,mp-1226090
Co1Ti1,0.71,Other,P m -3 m,m-3m,FM,CANDIDATE,mp-823
Co1Ti2,3.44,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-1191331
Co1Y3,0.34,Other,P n m a,mmm,NM,EXCLUDED,mp-1105598
Co1Zr1,0.0,Other,P m -3 m,m-3m,FM,CANDIDATE,mp-2283
Co1Zr3,3.6125,Other,C m c m,mmm,NM,EXCLUDED,mp-30619
Co20Zr80,0.0,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-1207434
Co2Ge2Sr1,0.0,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-7361
Co2Lu1,0.0,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-2206
Co2P1,0.0,Other,P n m a,mmm,FM,EXCLUDED,mp-22204
Co2Zr1,0.0,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-929
Co3Th7,1.815,Other,P 63 m c,6mm,NM,CANDIDATE,mp-30565
Co3Y4,2.033333333,Other,R -3 m,-3m,FM,CANDIDATE,mp-865373
Co4Ge13Yb3,0.0,Heavy_fermion,P m -3 n,m-3m,NM,CANDIDATE,mp-1203071
Co4Ge7U3,0.0,Heavy_fermion,I 4/m m m,4/mmm,FM,EXCLUDED,mp-20462
Co4La3Sn13,2.425,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-672373
Co4Sc5Si10,4.81,Other,P 4/m b m,4/mmm,NM,EXCLUDED,mp-542493
Co4Sn13Yb3,2.5,Heavy_fermion,P m -3 n,m-3m,NM,CANDIDATE,mp-1198658
Cr0.152Ti0.848,4.18,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-1208307
Cr0.1Cu1Sr1.9Tl1O5,37.5,Cuprate,P 4/m m m,4/mmm,NM,EXCLUDED,mp-620290
Cr0.25Mo0.75,0.155,Other,R 3 m,3m,NM,CANDIDATE,mp-1226250
Cr0.25V0.75,1.36,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-1187695
Cr0.28Ir0.72,0.83,Other,P m -3 m,m-3m,FiM,CANDIDATE,mp-12083
Cr0.2Fe0.8U6,3.3,Heavy_fermion,I 4/m c m,4/mmm,NM,EXCLUDED,mp-21108
Cr0.2Nb0.8,0.0,Other,P m -3 m,m-3m,FM,CANDIDATE,mp-999446
Cr0.476Mo0.524,0.045,Other,C m m m,mmm,NM,EXCLUDED,mp-1226200
Cr0.48V0.52,0.1,Other,C m m m,mmm,NM,EXCLUDED,mp-1216394
Cr0.5Rh0.5,0.0,Other,P -6 m 2,-62m,NM,CANDIDATE,mp-1226170
Cr0.5Ru0.5,1.3,Other,P -6 m 2,-62m,NM,CANDIDATE,mp-1226177
Cr0.72Ir0.28,0.83,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-1609
Cr0.72Os0.28,3.906,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-416
Cr0.72Ru0.28,3.468,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-1272
Cr0.75Rh0.25,0.071,Other,P m -3 n,m-3m,FM,CANDIDATE,mp-958
Cr0.79Pt0.21,0.0,Other,P m -3 n,m-3m,FM,CANDIDATE,mp-446
Cr0.95Cu1Fe0.05O2,117.5,Cuprate,R -3 m,-3m,AFM,CANDIDATE,mp-510625
Cr1,1.55,Other,I m -3 m,m-3m,AFM,CANDIDATE,mp-90
Cr1Cu4Sr8Tl3O20,25.0,Cuprate,C m m m,mmm,FM,EXCLUDED,mp-559339
Cr1Ga4,0.0,Other,I m -3 m,m-3m,NM,CANDIDATE,mp-1070544
Cr1Ge1,0.0,Other,P 21 3,23,FM,EXCLUDED,mp-20861
Cr1N1,0.0,Other,P -6 m 2,-62m,FM,CANDIDATE,mp-1183691
Cr1P1,0.0,Other,P n m a,mmm,FM,EXCLUDED,mp-21048
Cr1Sb1,0.0,Other,P 63/m m c,6/mmm,FM,CANDIDATE,mp-1641
Cr1Sb2,0.0,Other,P n n m,mmm,FM,EXCLUDED,mp-22498
Cr1Si1,0.0,Other,P 21 3,23,FM,EXCLUDED,mp-7576
Cr1Si2,0.0,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-8937
Cr2Ti1,0.0,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-1425
Cr2Zr1,0.0,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-903
Cr3Ga1,0.0,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-1231
Cr3Ge1,0.0,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-20685
Cr3O1,0.0,Oxide,R -3 c,-3m,FM,CANDIDATE,mp-714896
Cr3P1,0.0,Other,I -4,-4,NM,EXCLUDED,mp-7806
Cr3Si1,0.0,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-729
Cs0.19W1O3,6.7,Oxide,P 6/m m m,6/mmm,FM,CANDIDATE,mp-753119
Cs1I1,2.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-614603
Cs1Os2O6,3.27,Oxide,F d -3 m,m-3m,NM,CANDIDATE,mp-559998
Cs2Mo6Se6,0.0,Chevrel,P 63/m,6/m,NM,CANDIDATE,mp-1104663
Cu0.03Ru0.97Sr2Y1O6,0.0,Cuprate,P 1 21/c 1,2/m,FM,EXCLUDED,mp-14430
Cu0.09Li1Ti1.91O4,14.4,Cuprate,F d -3 m,m-3m,NM,CANDIDATE,mp-5670
Cu0.1Ho1Ru0.9Sr2O6,30.0,Cuprate,P 1 21/c 1,2/m,FM,EXCLUDED,mp-6676
Cu0.1Se2Zn0.9,0.0,Other,P a -3,m-3,NM,CANDIDATE,mp-1102515
Cu0.2Fe0.8La1.05Sr0.95O4,0.0,Cuprate,I 4 m m,4mm,FM,EXCLUDED,mp-1218154
Cu0.2S2Zn0.8,0.0,Other,P a -3,m-3,NM,CANDIDATE,mp-1102743
Cu0.5La2Li0.5O4,0.0,Cuprate,C m m m,mmm,NM,EXCLUDED,mp-21496
Cu0.67Zn0.33,0.0,Other,P -3 m 1,-3m,NM,CANDIDATE,mp-1215401
Cu0.75Ir2S4Zn0.25,3.3,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-15065
Cu0.786Sb0.214,0.047,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-1183969
Cu0.815Ge0.185,0.175,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1184021
Cu0.81Ga0.19,0.048,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-1183995
Cu0.8Sn0.2,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-13138
Cu1,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-989695
Cu1.8S1,0.0,Other,P 43 21 2,422,NM,EXCLUDED,mp-618991
Cu1Dy0.75La1.25O4,0.0,Cuprate,P 4 m m,4mm,NM,EXCLUDED,mp-1223395
Cu1Er2O4,0.0,Cuprate,C m c a,mmm,NM,EXCLUDED,mp-753901
Cu1Ga2,0.0,Other,P 4/m m m,4/mmm,NM,EXCLUDED,mp-11359
Cu1Gd0.1Sr0.9O2,43.5,Cuprate,C m c m,mmm,NM,EXCLUDED,mp-5787
Cu1Ho2O4,0.0,Cuprate,C m c a,mmm,NM,EXCLUDED,mp-754263
Cu1La0.12Sr0.88O1.97,42.4,Cuprate,P 4/m m m,4/mmm,NM,EXCLUDED,mp-37514
Cu1La1,6.0,Other,P n m a,mmm,NM,EXCLUDED,mp-1078920
Cu1La1.5Sr0.5O4,0.0,Cuprate,A m m 2,mm2,NM,EXCLUDED,mp-1218244
Cu1La1O2.54,0.0,Cuprate,R -3 c,-3m,NM,CANDIDATE,mp-3474
Cu1La1Sb2,0.9,Other,P 4/n m m,4/mmm,NM,EXCLUDED,mp-1079103
Cu1Mg1Sb1,0.0,Other,F -4 3 m,-43m,NM,CANDIDATE,mp-3522
Cu1Mo6Se8,5.9,Chevrel,R -3,-3,NM,CANDIDATE,mp-1104894
Cu1Nd2O3.5,0.0,Cuprate,C 1 2/m 1,2/m,NM,EXCLUDED,mp-556595
Cu1O1,0.0,Oxide,P 42/m m c,4/mmm,NM,EXCLUDED,mp-1692
Cu1Rh1.78Se4Sn0.22,1.92,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-15614
Cu1S1,1.585,Other,C m c m,mmm,NM,EXCLUDED,mp-555599
Cu1S1Se1,1.625,Other,P 21 3,23,NM,EXCLUDED,mp-1225747
Cu1S4Ti2,0.0,Other,F d -3 m,m-3m,FM,CANDIDATE,mp-3951
Cu1S4V2,4.45,Other,F d -3 m,m-3m,FiM,CANDIDATE,mp-5178
Cu1Se1,0.0,Other,C m c m,mmm,NM,EXCLUDED,mp-571486
Cu1Se1Te1,1.7000000000000002,Other,P 21 3,23,NM,EXCLUDED,mp-1225744
Cu1Sr1O2.97,0.0,Cuprate,P b a m,mmm,NM,EXCLUDED,mp-21129
Cu1Sr2O3,0.0,Cuprate,I m m m,mmm,NM,EXCLUDED,mp-5456
Cu1Te1,0.0,Other,P m m n,mmm,NM,EXCLUDED,mp-20826
Cu1Te2,1.3,Other,P -3 m 1,-3m,NM,CANDIDATE,mp-1207193
Cu1Th2,3.465,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-1034
Cu1Ti1,0.0,Other,P 4/n m m,4/mmm,NM,EXCLUDED,mp-2078
Cu1Y1,0.235,Other,P n m a,mmm,NM,EXCLUDED,mp-1080443
Cu1Zn1,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-987
Cu1Zn3,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-972042
Cu2Er2O5,0.0,Cuprate,P n a 21,mm2,FM,EXCLUDED,mp-21160
Cu2Eu1Nb1Sr2O8,0.0,Cuprate,I 4/m c m,4/mmm,FM,EXCLUDED,mp-16786
Cu2Fe1Sr2Y1O7.32,0.0,Cuprate,I m a 2,mm2,FM,EXCLUDED,mvc-771
Cu2Ge2Yb1,0.0,Heavy_fermion,I 4/m m m,4/mmm,NM,EXCLUDED,mp-13401
Cu2Ho1Ru1Sr2O8,0.0,Cuprate,A m m 2,mm2,NM,EXCLUDED,mp-1218811
Cu2Ho2O5,0.0,Cuprate,P n a 21,mm2,FM,EXCLUDED,mp-5029
Cu2In1Ti1,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-22725
Cu2La1Si2,0.0,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-3995
Cu2La2Sr1O6,0.0,Cuprate,I 4/m m m,4/mmm,NM,EXCLUDED,mp-1218240
Cu2Li1P2,1.85,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-7298
Cu2Mg1,0.0,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-1038
Cu2Nb1Sm1Sr2O8,0.0,Cuprate,I 4/m c m,4/mmm,NM,EXCLUDED,mp-18490
Cu2O1,0.0,Oxide,P n -3 m,m-3m,NM,CANDIDATE,mp-361
Cu2S2Sr2Zn1O2,0.0,Cuprate,I 4/m m m,4/mmm,NM,EXCLUDED,mp-9453
Cu2Sb1,0.085,Other,P 4/n m m,4/mmm,NM,EXCLUDED,mp-1825
Cu2Sn1Ti1,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-1206917
Cu2Tm2O5,0.0,Cuprate,P n a 21,mm2,FM,EXCLUDED,mp-3120
Cu2Yb2O5,0.0,Cuprate,P n a 21,mm2,NM,EXCLUDED,mp-20205
Cu30Sn70,4.91,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1184173
Cu3Dy1Pb2Sr2O8,76.5,Cuprate,P 4/m m m,4/mmm,NM,EXCLUDED,mp-22301
Cu3N1,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-1933
Cu3Pb2Pr1Sr2O8,0.0,Cuprate,P -1,-1,NM,EXCLUDED,mp-1218727
Cu3Pb2Sm1Sr2O8,0.0,Cuprate,P 4/m m m,4/mmm,NM,EXCLUDED,mp-20437
Cu3Sb1,0.9205,Other,P m m n,mmm,NM,EXCLUDED,mp-20900
Cu3Si1,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-867317
Cu40Zr60,1.173333333,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-193
Cu4K1S3,1.4,Other,P 4/m m m,4/mmm,NM,EXCLUDED,mp-27677
Cu50Sn50,3.26,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-10598
Cu50Zr50,0.543333333,Other,C 1 m 1,m,NM,EXCLUDED,mp-1080022
Cu5U1,0.0,Heavy_fermion,F -4 3 m,-43m,FM,CANDIDATE,mp-510148
Cu6La1,0.021,Other,P 6/m m m,6/mmm,NM,CANDIDATE,mp-2613
Cu6Sr4O10,0.0,Cuprate,C m m m,mmm,NM,EXCLUDED,mp-552089
Cu6Th1,0.2,Other,P n m a,mmm,NM,EXCLUDED,mp-12834
Cu8La2Sr6O16,0.0,Cuprate,P m c 21,mm2,NM,EXCLUDED,mp-1218623
Dy0.06Fe3Lu1.94Si5,4.52,Other,P 4/m n c,4/mmm,NM,EXCLUDED,mp-541557
Dy0.15Pd2Sn1Y0.85,2.8,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-5538
Dy0.1Fe3Si5Y1.9,2.75,Other,P 4/m n c,4/mmm,NM,EXCLUDED,mp-1197725
Dy1Fe2Ge2,0.0,Other,I 4/m m m,4/mmm,FM,EXCLUDED,mp-21426
Dy1Ga6,2.95,Other,P 4/n b m,4/mmm,NM,EXCLUDED,mp-1104534
Dy1Ir1Si1,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-20281
Dy1Mo6S8,1.6,Chevrel,R -3,-3,NM,CANDIDATE,mp-1103518
Dy1P2Pd2,0.0,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-1207097
Dy1Pb1Pd2,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-1206592
Dy1Pd2Sn1,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-21014
Dy1Rh1Si1,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-1212831
Dy2Fe3Si5,0.0,Other,P 4/m n c,4/mmm,NM,EXCLUDED,mp-669393
Dy2Rh3Si5,0.0,Other,C 1 2/c 1,2/m,NM,EXCLUDED,mp-1188825
Dy2Rh3Sn5,0.0,Other,C m c 21,mm2,NM,EXCLUDED,mp-1106269
Dy3Ge13Ru4,0.0,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-1197267
Dy5Ir4Si10,0.0,Other,P 4/m b m,4/mmm,NM,EXCLUDED,mp-1198889
Er0.4Pd2Sn1Y0.6,3.215,Other,R -3 m,-3m,NM,CANDIDATE,mp-1215927
Er0.8Pd2Sn1Y0.2,2.08,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-5850
Er1,0.0,Other,R -3 m,-3m,NM,CANDIDATE,mp-1184115
Er1Fe2Ge2,0.0,Other,I 4/m m m,4/mmm,FM,EXCLUDED,mp-5451
Er1Ga6,0.0,Other,P 4/n b m,4/mmm,NM,EXCLUDED,mp-1103883
Er1Ir1Si1,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-20733
Er1Pb1Pd2,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-1206593
Er1Re2,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1102143
Er1Rh1.1Sn3.6,1.36,Other,F -4 3 m,-43m,NM,CANDIDATE,mp-1225985
Er1Rh1Si1,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-22114
Er1Ru2,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-569220
Er2Fe3Si5,0.465,Other,P 4/m n c,4/mmm,NM,EXCLUDED,mp-680269
Er2Rh3Si5,0.0,Other,I b a m,mmm,NM,EXCLUDED,mp-1212876
Er3Ge13Ru4,0.0,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-1198321
Er3Ni1,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-1105907
Er5Ir4Si10,0.0,Other,P 4/m b m,4/mmm,NM,EXCLUDED,mp-1195957
Eu1,1.375,Other,C m c m,mmm,FM,EXCLUDED,mp-1057315
Eu1Ga1Ge1,0.0,Other,P 63/m m c,6/mmm,FM,CANDIDATE,mp-1101845
Eu1Ga1Si1,0.0,Other,P -6 m 2,-62m,FM,CANDIDATE,mp-1225124
Eu1Ga1Sn1,0.0,Other,P 63/m m c,6/mmm,FM,CANDIDATE,mp-1102160
Eu1P2Pd2,0.0,Other,I 4/m m m,4/mmm,FM,EXCLUDED,mp-581754
Eu1Ru4Sb12,0.0,Other,I m -3,m-3,FiM,CANDIDATE,mp-20855
F0.1Fe1P1Pr1O0.9,2.34,Ferrite,P 4/n m m,4/mmm,FM,EXCLUDED,mp-22034
F2Sb2Sr2Ti2O1,0.0,Oxide,I 4/m m m,4/mmm,NM,EXCLUDED,mp-1079717
Fe0.05S2Ta1,3.0,Ferrite,P 63/m m c,6/mmm,NM,CANDIDATE,mp-554416
Fe0.15Hf1V1.85,7.04,Other,I 41/a m d,4/mmm,NM,EXCLUDED,mp-1077017
Fe0.15V1.85Zr1,6.41,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-258
Fe0.25Ni0.75U6,3.0,Heavy_fermion,I 4 2 2,422,NM,EXCLUDED,mp-1216984
Fe0.33Ni0.67Zr2,2.13,Other,I 4 2 2,422,FM,EXCLUDED,mp-1215366
Fe0.3V1.7Zr1,4.49,Other,R -3 m,-3m,FM,CANDIDATE,mp-1215479
Fe0.5Ru0.5,0.0,Other,P -6 m 2,-62m,NM,CANDIDATE,mp-1224803
Fe0.98Mn0.02Se0.5Te0.5,14.4,Ferrite,P 4 m m,4mm,FM,EXCLUDED,mp-1225136
Fe0.98Se0.15Te0.9,8.8,Ferrite,I 4 m m,4mm,FM,EXCLUDED,mp-1224987
Fe1,1.0,Other,I 4/m m m,4/mmm,FM,EXCLUDED,mp-1271562
Fe1.5K1S2,0.0,Ferrite,I 4/m m m,4/mmm,NM,EXCLUDED,mp-1070151
Fe1.7Se2Tl1,22.4,Ferrite,I 4/m m m,4/mmm,FM,EXCLUDED,mp-3021
Fe1Ge2,0.0,Other,I 4/m c m,4/mmm,FM,EXCLUDED,mp-21117
Fe1Hf2,0.0,Other,F d -3 m,m-3m,FM,CANDIDATE,mp-2754
Fe1Li1P1,4.965,Ferrite,P 4/n m m,4/mmm,NM,EXCLUDED,mp-20049
Fe1Nb4Si1,6.8,Other,P 4/m c c,4/mmm,NM,EXCLUDED,mp-22312
Fe1P1,0.0,Ferrite,P n m a,mmm,FM,EXCLUDED,mp-1005
Fe1P1Sm1O1,2.5,Ferrite,P 4/n m m,4/mmm,FM,EXCLUDED,mp-505259
Fe1P1Zr1,0.0,Ferrite,P n m a,mmm,NM,EXCLUDED,mp-20892
Fe1S0.12Te0.88,6.8,Ferrite,P 4/n m m,4/mmm,FM,EXCLUDED,mp-21273
Fe1S0.25Te0.75,7.28,Ferrite,P 4 m m,4mm,FM,EXCLUDED,mp-1225166
Fe1S0.4Se0.6,3.73,Ferrite,P -6 m 2,-62m,FM,CANDIDATE,mp-1225163
Fe1S1,0.0,Ferrite,P 4/n m m,4/mmm,NM,EXCLUDED,mp-505531
Fe1Sb1,0.0,Ferrite,P 63/m m c,6/mmm,FM,CANDIDATE,mp-2619
Fe1Sb2,0.0,Ferrite,P n n m,mmm,FM,EXCLUDED,mp-20714
Fe1Sb3,0.0,Ferrite,I m -3,m-3,FM,CANDIDATE,mp-971669
Fe1Se0.75Te0.25,13.3,Ferrite,A m m 2,mm2,FM,EXCLUDED,mp-1225054
Fe1Si1,0.0,Other,P 21 3,23,NM,EXCLUDED,mp-871
Fe1Sn2,0.0,Other,I 4/m c m,4/mmm,FM,EXCLUDED,mp-22752
Fe1Ti1,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-305
Fe1Zr2,0.17,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-1159
Fe22U78,0.98,Heavy_fermion,F d -3 m,m-3m,FiM,CANDIDATE,mp-1208119
Fe2Ge2Ho1,0.0,Other,I 4/m m m,4/mmm,FM,EXCLUDED,mp-3065
Fe2Ge2Nd1,0.0,Other,I 4/m m m,4/mmm,FM,EXCLUDED,mp-20785
Fe2Ge2Pr1,0.0,Heavy_fermion,I 4/m m m,4/mmm,FM,EXCLUDED,mp-21221
Fe2Ge2Sm1,0.0,Other,I 4/m m m,4/mmm,FM,EXCLUDED,mp-22349
Fe2Ge2Tb1,0.0,Other,I 4/m m m,4/mmm,FM,EXCLUDED,mp-20264
Fe2Ge2Tm1,0.0,Other,I 4/m m m,4/mmm,FM,EXCLUDED,mp-4660
Fe2Ge2Y1,0.99,Other,I 4/m m m,4/mmm,FM,EXCLUDED,mp-21113
Fe2Hf1,0.0,Other,F d -3 m,m-3m,FiM,CANDIDATE,mp-333
Fe2K0.8Se2,31.36428571,Ferrite,I 4/m,4/m,FM,EXCLUDED,mp-1224406
Fe2P1,0.0,Ferrite,I m m 2,mm2,FM,EXCLUDED,mp-1189340
Fe2P2Sc2Sr4O6,15.25,Ferrite,P 4/n m m,4/mmm,FM,EXCLUDED,mp-1189114
Fe2Si2Y1,2.9,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-5288
Fe2Te3,0.0,Ferrite,P n n m,mmm,NM,EXCLUDED,mp-19880
Fe2Ti1,0.0,Other,P 63/m m c,6/mmm,FiM,CANDIDATE,mp-2454
Fe2U1,0.0,Heavy_fermion,F d -3 m,m-3m,FiM,CANDIDATE,mp-21050
Fe2Zr1,0.0,Other,F d -3 m,m-3m,FiM,CANDIDATE,mp-1718
Fe3Ho2Si5,0.0,Other,P 4/m n c,4/mmm,NM,EXCLUDED,mp-1200585
Fe3Sc2Si5,4.57,Other,P 4/m n c,4/mmm,NM,EXCLUDED,mp-21588
Fe3Si5Sm2,0.0,Other,P 4/m n c,4/mmm,NM,EXCLUDED,mp-1200246
Fe3Si5Tb2,0.0,Other,P 4/m n c,4/mmm,NM,EXCLUDED,mp-22468
Fe3Si5Tm2,1.3825,Other,P 4/m n c,4/mmm,NM,EXCLUDED,mp-1196684
Fe3Si5Yb2,0.0,Heavy_fermion,P 4/m n c,4/mmm,FM,EXCLUDED,mp-1198337
Fe3Te3Tl1,0.0,Ferrite,P 63/m,6/m,FM,CANDIDATE,mp-3708
Fe3Th7,2.016666667,Other,P 63 m c,6mm,NM,CANDIDATE,mp-18014
Fe4La1P12,3.075,Ferrite,I m -3,m-3,NM,CANDIDATE,mp-582295
Fe4Nd1P12,0.0,Ferrite,I m -3,m-3,NM,CANDIDATE,mp-16431
Fe4P12Pr1,0.0,Ferrite,I m -3,m-3,NM,CANDIDATE,mp-16430
Fe4P12Sm1,0.0,Ferrite,I m -3,m-3,NM,CANDIDATE,mp-1105927
Fe4P12Tb1,0.0,Ferrite,I m -3,m-3,NM,CANDIDATE,mp-21041
Fe4P12Yb1,0.0,Ferrite,I m -3,m-3,NM,CANDIDATE,mp-12956
Ga0.05Nb1Se2,5.6,Other,F -4 3 m,-43m,NM,CANDIDATE,mp-15208
Ga0.1Sn0.9V3,3.8,Other,P m -3 n,m-3m,FM,CANDIDATE,mp-21342
Ga0.32Si0.68V3,9.4,Other,P m -3,m-3,FM,CANDIDATE,mp-1216440
Ga0.35Nb3Sn0.65,16.5,Other,P m -3,m-3,NM,CANDIDATE,mp-1220342
Ga0.45V0.55,0.0,Other,P -6 m 2,-62m,NM,CANDIDATE,mp-1216325
Ga0.4Nb0.6,20.3,Other,P 4/m b m,4/mmm,NM,EXCLUDED,mp-11393
Ga0.5Ge0.5Nb3,7.3,Other,P m -3,m-3,NM,CANDIDATE,mp-1220381
